,Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,case id,iter,Cluster,region,technology
0,NENG_Rest_landbasedwind_class1_moderate_1,1.0,0.0,0.0,0.2713164644886959,0.2713164644886959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NENG_Rest,LandbasedWind
1,NENG_Rest_landbasedwind_class1_moderate_2,1.0,0.0,0.0,6450.613243742141,6450.613243742141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,2,NENG_Rest,LandbasedWind
2,NENG_Rest_landbasedwind_class1_moderate_3,1.0,0.0,0.0,0.0066205532981133,0.0066205532981133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,3,NENG_Rest,LandbasedWind
3,NENG_Rest_landbasedwind_class1_moderate_4,1.0,0.0,0.0,0.0023540227441572,0.0023540227441572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,4,NENG_Rest,LandbasedWind
4,NENG_Rest_landbasedwind_class1_moderate_5,1.0,0.0,0.0,0.0036534523143953,0.0036534523143953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,5,NENG_Rest,LandbasedWind
5,NENG_Rest_landbasedwind_class1_moderate_6,1.0,0.0,0.0,0.0028356395836206,0.0028356395836206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,6,NENG_Rest,LandbasedWind
6,NY_Z_A_landbasedwind_class1_moderate_1,2.0,0.0,0.0,0.0003043219510031,0.0003043219510031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NY_Z_A,LandbasedWind
7,NY_Z_A_landbasedwind_class1_moderate_2,2.0,0.0,0.0,0.0003468730568482,0.0003468730568482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,2,NY_Z_A,LandbasedWind
8,NY_Z_A_landbasedwind_class1_moderate_3,2.0,0.0,0.0,0.0003135848762091,0.0003135848762091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,3,NY_Z_A,LandbasedWind
9,NY_Z_A_landbasedwind_class1_moderate_4,2.0,0.0,0.0,0.0003434280327187,0.0003434280327187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,4,NY_Z_A,LandbasedWind
10,NY_Z_A_landbasedwind_class1_moderate_5,2.0,0.0,0.0,0.0002926786924291,0.0002926786924291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,5,NY_Z_A,LandbasedWind
11,NY_Z_A_landbasedwind_class1_moderate_6,2.0,0.0,0.0,0.000322588014144,0.000322588014144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,6,NY_Z_A,LandbasedWind
12,NY_Z_B_landbasedwind_class1_moderate_1,3.0,0.0,0.0,0.0010971693734397,0.0010971693734397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NY_Z_B,LandbasedWind
13,NY_Z_B_landbasedwind_class1_moderate_2,3.0,0.0,0.0,0.0097623194269056,0.0097623194269056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,2,NY_Z_B,LandbasedWind
14,NY_Z_B_landbasedwind_class1_moderate_3,3.0,0.0,0.0,0.000811796387245,0.000811796387245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,3,NY_Z_B,LandbasedWind
15,NY_Z_B_landbasedwind_class1_moderate_4,3.0,0.0,0.0,0.00241052946995,0.00241052946995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,4,NY_Z_B,LandbasedWind
16,NY_Z_B_landbasedwind_class1_moderate_5,3.0,0.0,0.0,0.0004189232884006,0.0004189232884006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,5,NY_Z_B,LandbasedWind
17,NY_Z_B_landbasedwind_class1_moderate_6,3.0,0.0,0.0,0.0008933013713179,0.0008933013713179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,6,NY_Z_B,LandbasedWind
18,NY_Z_C&E_landbasedwind_class1_moderate_1,4.0,0.0,0.0,0.0002422909956698,0.0002422909956698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NY_Z_C&E,LandbasedWind
19,NY_Z_C&E_landbasedwind_class1_moderate_2,4.0,0.0,0.0,0.0002439792747577,0.0002439792747577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,2,NY_Z_C&E,LandbasedWind
20,NY_Z_C&E_landbasedwind_class1_moderate_3,4.0,0.0,0.0,0.0002508710901342,0.0002508710901342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,3,NY_Z_C&E,LandbasedWind
21,NY_Z_C&E_landbasedwind_class1_moderate_4,4.0,0.0,0.0,0.0002464323167274,0.0002464323167274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,4,NY_Z_C&E,LandbasedWind
22,NY_Z_C&E_landbasedwind_class1_moderate_5,4.0,0.0,0.0,0.0002469109524575,0.0002469109524575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,5,NY_Z_C&E,LandbasedWind
23,NY_Z_C&E_landbasedwind_class1_moderate_6,4.0,0.0,0.0,0.0002373881222735,0.0002373881222735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,6,NY_Z_C&E,LandbasedWind
24,NY_Z_D_landbasedwind_class1_moderate_1,5.0,0.0,0.0,0.0009741638632726,0.0009741638632726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NY_Z_D,LandbasedWind
25,NY_Z_D_landbasedwind_class1_moderate_2,5.0,0.0,0.0,0.0023856212102165,0.0023856212102165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,2,NY_Z_D,LandbasedWind
26,NY_Z_D_landbasedwind_class1_moderate_3,5.0,0.0,0.0,0.0006492783335085,0.0006492783335085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,3,NY_Z_D,LandbasedWind
27,NY_Z_D_landbasedwind_class1_moderate_4,5.0,0.0,0.0,0.0006742775739471,0.0006742775739471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,4,NY_Z_D,LandbasedWind
28,NY_Z_D_landbasedwind_class1_moderate_5,5.0,0.0,0.0,0.0004305644687078,0.0004305644687078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,5,NY_Z_D,LandbasedWind
29,NY_Z_D_landbasedwind_class1_moderate_6,5.0,0.0,0.0,0.000537011176307,0.000537011176307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,6,NY_Z_D,LandbasedWind
30,NY_Z_F_landbasedwind_class1_moderate_1,6.0,0.0,0.0,0.0004302876848708,0.0004302876848708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NY_Z_F,LandbasedWind
31,NY_Z_F_landbasedwind_class1_moderate_2,6.0,0.0,0.0,0.0004961875669833,0.0004961875669833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,2,NY_Z_F,LandbasedWind
32,NY_Z_F_landbasedwind_class1_moderate_3,6.0,0.0,0.0,0.0003959811656884,0.0003959811656884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,3,NY_Z_F,LandbasedWind
33,NY_Z_F_landbasedwind_class1_moderate_4,6.0,0.0,0.0,0.0004149665022748,0.0004149665022748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,4,NY_Z_F,LandbasedWind
34,NY_Z_F_landbasedwind_class1_moderate_5,6.0,0.0,0.0,0.0003359003561184,0.0003359003561184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,5,NY_Z_F,LandbasedWind
35,NY_Z_F_landbasedwind_class1_moderate_6,6.0,0.0,0.0,0.0003582536345367,0.0003582536345367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,6,NY_Z_F,LandbasedWind
36,NY_Z_G-I_landbasedwind_class1_moderate_1,7.0,0.0,0.0,0.0002031895080791,0.0002031895080791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MGA_0.1_17,1,1,NY_Z_G-I,LandbasedWind
