region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,CapRes_3,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,MinCapTag_6,MinCapTag_7,MinCapTag_8,MinCapTag_9,MinCapTag_10,MinCapTag_11,MinCapTag_12,MinCapTag_13,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Resource_Type,MGA
NENG_Rest,NENG_Rest_battery_moderate_0,Battery_*_Moderate,0,111,1,0,0.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,23535,7081,225743.63,18757,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_A,NY_Z_A_battery_moderate_0,Battery_*_Moderate,0,152,2,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22924,7081,225743.63,18270,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_B,NY_Z_B_battery_moderate_0,Battery_*_Moderate,0,169,3,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22924,7081,225743.63,18270,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_C&E,NY_Z_C&E_battery_moderate_0,Battery_*_Moderate,0,186,4,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22924,7081,225743.63,18270,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_D,NY_Z_D_battery_moderate_0,Battery_*_Moderate,0,203,5,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22924,7081,225743.63,18270,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_F,NY_Z_F_battery_moderate_0,Battery_*_Moderate,0,220,6,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22924,7081,225743.63,18270,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_G-I,NY_Z_G-I_battery_moderate_0,Battery_*_Moderate,0,237,7,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22924,7081,225743.63,18270,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_J,NY_Z_J_battery_moderate_0,Battery_*_Moderate,0,254,8,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,23453,7081,225743.63,18691,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NY_Z_K,NY_Z_K_battery_moderate_0,Battery_*_Moderate,0,283,9,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,23453,7081,225743.63,18691,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
PJM_EMAC,PJM_EMAC_battery_moderate_0,Battery_*_Moderate,0,289,10,0,0,0,0.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22990,7081,225743.63,18323,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
PJM_Rest,PJM_Rest_battery_moderate_0,Battery_*_Moderate,0,331,11,0,0,0,0.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,-1,-1,0,0,0,283245.084,22775,7081,225743.63,18152,5643,0.15,0.15,0,0,0,0,0,0,0,None,0,0,0.92,0.92,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Battery,0
NENG_Rest,NENG_Rest_biomass_1,Biomass,1,1,1,0,0.93,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,-1,5,-1,6.11,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,12.55,0,0,0,0,0,29.2,3.126,3.358,None,0.149,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
NENG_Rest,NENG_Rest_biomass_2,Biomass,2,2,1,0,0.93,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.8,-1,55,-1,1.92,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,4.68,0,0,0,0,0,10.88,2.765,1.401,None,0.297,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
NENG_Rest,NENG_Rest_biomass_3,Biomass,3,3,1,0,0.93,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.5,-1,22,-1,4.93,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,7.43,0,0,0,0,0,17.3,3.508,2.487,None,0.305,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
NY_Z_A,NY_Z_A_biomass_1,Biomass,1,16,2,0,0,0.93,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,-1,26,-1,0.95,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,5.11,0,0,0,0,0,11.9,1.819,0.981,None,0.347,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
NY_Z_B,NY_Z_B_biomass_1,Biomass,1,25,3,0,0,0.93,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,-1,12,-1,0.94,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,5.68,0,0,0,0,0,13.22,1.657,0.926,None,0.581,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
NY_Z_C&E,NY_Z_C&E_biomass_1,Biomass,1,34,4,0,0,0.93,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1,-1,40,-1,1.93,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,6.89,0,0,0,0,0,16.03,1.438,1.833,None,0.319,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
PJM_EMAC,PJM_EMAC_biomass_1,Biomass,1,69,10,0,0,0,0.93,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.2,-1,82,-1,2.38,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,6.53,0,0,0,0,0,15.19,1.826,2.625,None,0.233,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
PJM_Rest,PJM_Rest_biomass_1,Biomass,1,83,11,0,0,0,0.93,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.5,-1,467,-1,0.42,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,4.8,0,0,0,0,0,11.18,0.688,0.848,None,0.208,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
PJM_Rest,PJM_Rest_biomass_2,Biomass,2,84,11,0,0,0,0.93,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,-1,55,-1,1.41,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,8.78,0,0,0,0,0,20.43,3.557,3.182,None,0.185,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biomass,1
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,1,4,1,0,0.8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.4,-1,116,-1,9.34,0,0,-1,-1,-1,0,0,0,0,0,53201,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.258,0,1,1,1,0,0,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,Conventional_Hydroelectric,1
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1,17,2,0,0,0.8,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434.9,-1,13,-1,187.3,0,0,-1,-1,-1,0,0,0,0,0,53201,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.005,0,1,1,1.251770228,0,0,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,Conventional_Hydroelectric,1
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,1,26,3,0,0,0.8,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,-1,4,-1,6.88,0,0,-1,-1,-1,0,0,0,0,0,53201,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,1,0,0,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,Conventional_Hydroelectric,1
