Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NENG_Rest_battery_moderate_0,1,0.0,0.0,7.163128101998765e-5,7.163128101998765e-5,0.0,0.0,0.00017735873989073816,0.00017735873989073816,0.0,0.0,0.0,0.0
NY_Z_A_battery_moderate_0,2,0.0,0.0,3164.003727202086,3164.003727202086,0.0,0.0,3164.0040523112366,3164.0040523112366,0.0,0.0,0.0,0.0
NY_Z_B_battery_moderate_0,3,0.0,0.0,1702.5489668055634,1702.5489668055634,0.0,0.0,3774.032123035916,3774.032123035916,0.0,0.0,0.0,0.0
NY_Z_C&E_battery_moderate_0,4,0.0,0.0,0.0018022484823546929,0.0018022484823546929,0.0,0.0,0.0019587810699916,0.0019587810699916,0.0,0.0,0.0,0.0
NY_Z_D_battery_moderate_0,5,0.0,0.0,2.493185278090707,2.493185278090707,0.0,0.0,2.493185562021375,2.493185562021375,0.0,0.0,0.0,0.0
NY_Z_F_battery_moderate_0,6,0.0,0.0,1130.9485083926459,1130.9485083926459,0.0,0.0,1819.7238579908737,1819.7238579908737,0.0,0.0,0.0,0.0
NY_Z_G-I_battery_moderate_0,7,0.0,0.0,0.001588077777064372,0.001588077777064372,0.0,0.0,0.0028921532384614157,0.0028921532384614157,0.0,0.0,0.0,0.0
NY_Z_J_battery_moderate_0,8,0.0,0.0,0.0018183082515606888,0.0018183082515606888,0.0,0.0,0.003349996161304101,0.003349996161304101,0.0,0.0,0.0,0.0
NY_Z_K_battery_moderate_0,9,0.0,0.0,0.00040372892217917,0.00040372892217917,0.0,0.0,0.00045461891065685884,0.00045461891065685884,0.0,0.0,0.0,0.0
PJM_EMAC_battery_moderate_0,10,0.0,0.0,1580.0000000358086,1580.0000000358086,0.0,0.0,2633.7743078932185,2633.7743078932185,0.0,0.0,0.0,0.0
PJM_Rest_battery_moderate_0,11,0.0,0.0,3693.8824297768874,3693.8824297768874,0.0,0.0,8030.179202028405,8030.179202028405,0.0,0.0,0.0,0.0
NENG_Rest_biomass_1,1,30.5,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
