Resource,Zone,StartCap,RetCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Total,n/a,1.18E+06,0,112815.1816,1.29E+06,n/a,420208.2,0,2.332104917,420210.5321,0,0,0,0
TREW_batteries_1,26,1912.4,0,0,1912.4,0,3553.3,0,0,3553.3,0,0,0,0
TREW_natural_gas_fired_combined_cycle_1,26,3197.2,0,0,3197.2,0,0,0,0,0,0,0,0,0
TREW_natural_gas_fired_combined_cycle_2,26,393.1,0,0,393.1,0,0,0,0,0,0,0,0,0
TREW_natural_gas_fired_combustion_turbine_1,26,872,0,0,872,0,0,0,0,0,0,0,0,0
TREW_natural_gas_fired_combustion_turbine_2,26,336,0,0,336,0,0,0,0,0,0,0,0,0
TREW_natural_gas_internal_combustion_engine_1,26,9.1,0,0,9.1,0,0,0,0,0,0,0,0,0
TREW_natural_gas_steam_turbine_1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
TREW_onshore_wind_turbine_1,26,26085.7,0,0,26085.7,0,0,0,0,0,0,0,0,0
TREW_petroleum_liquids_1,26,54,0,0,54,0,0,0,0,0,0,0,0,0
TREW_solar_photovoltaic_1,26,9871.6,0,0,9871.6,0,0,0,0,0,0,0,0,0
TREW_distributed_generation_1,26,90,0,0,90,0,0,0,0,0,0,0,0,0
TREW_naturalgas_hframe_cc_95_ccs_moderate_0,26,0.1,0,0.008023115,0.108023115,0,0,0,0,0,0,0,0,0
TREW_naturalgas_hframe_cc_moderate_0,26,0.1,0,0.06616594,0.16616594,0,0,0,0,0,0,0,0,0
TREW_naturalgas_fframe_ct_moderate_0,26,0.2,0,0.010677157,0.210677157,0,0,0,0,0,0,0,0,0
TREW_battery_moderate_0,26,0.4,0,0.022448648,0.422448648,0,0.4,0,0.067124001,0.467124001,0,0,0,0
TREW_nuclear_nuclear_moderate_0,26,0,0,0.033521208,0.033521208,0,0,0,0,0,0,0,0,0
TREW_hydrogen_fframe_ct_moderate_0,26,0.1,0,0.023830363,0.123830363,0,0,0,0,0,0,0,0,0
TREW_hydrogen_hframe_cc_moderate_0,26,0.1,0,0.009229583,0.109229583,0,0,0,0,0,0,0,0,0
