Zone,cluster,NewCap,Area,d_trans,d_sub,d_road,d_load_750,d_existing,d_plannedF,m_slope,m_popden,m_HMI,m_primeFarmland,incap,CPA_ID,m_aspect,m_aspect_min,Shape_Leng,Shape_Area,m_landcover,exFacil,plFacil,pop_density_bin,tech,metro_id,metro_region,cpa_mw,cf,path,resource_annuity,resource_fom,interconnect_annuity,lcoe,interconnect_capex_mw,metro_name,ipm_region,longitude,latitude,GEOID,state,state_left,state_right,metro_county,cluster
1.0,1,3.146244656006425e-05,9.98481380137,2.51643898388,44.4697509604,2.67986661265,36.8262407554,62.4831211737,66.6860692174,5.475,0.0,0.0274206047412,0.0,89.8633242123,212932,247.435897436,180.0,25000.0001393,9984813.80137,52,0,0,pop_den_(0-5],photovoltaic,37220,WECC_NNV,89.86333,0.33001164,"[212932, 310177]",52312.918,9795.209,3065.217,22.544294,63279.906,"Pahrump, NV",WECC_NNV,-115.83133442238932,36.1747926184764,32003,Nevada,,,37220_32003,1
1.0,2,547.1999366974428,3.69082674325,0.0,15.7480360946,12.1298175896,49.4813547235,11.3185677387,16.9309012222,6.41666666667,0.0,0.122873878106,0.0,33.2174406893,105566,305.0,225.0,11395.4801743,3690826.74325,52,0,0,pop_den_(0-5],photovoltaic,29820,WECC_SNV,33.21744,0.313741,"[105566, 310471]",52312.918,9795.209,8017.842,25.515467,165524.42,"Las Vegas-Henderson-Paradise, NV",WECC_SNV,-115.18378626097756,35.739217223430444,32003,Nevada,,,29820_32003,2
1.0,2,547.1999366974428,15.0000001872,0.0,57.0649999344,0.0,35.7655676514,51.5574001382,74.3179808781,1.01666666667,0.0,0.0295325210939,0.0,135.000001685,212913,225.2,180.0,23999.9999098,15000000.1872,52,0,0,pop_den_(0-5],photovoltaic,29820,WECC_SNV,135.0,0.32641703,"[212913, 304978]",52312.918,9795.209,11007.993,25.570324,227254.64,"Las Vegas-Henderson-Paradise, NV",WECC_SNV,-115.80268843141656,36.0677306956056,32003,Nevada,,,29820_32003,2
1.0,2,547.1999366974428,3.24840194143,1.40660687028,50.1599705779,1.22180977723,30.5618070988,39.7903785426,63.3242287602,1.26666666667,0.0,0.0189928236107,0.0,29.2356174728,212890,253.857142857,225.0,10599.4650731,3248401.94143,52,0,0,pop_den_(0-5],photovoltaic,29820,WECC_SNV,29.235617,0.31879047,"[212890, 304978]",52312.918,9795.209,9371.976,25.596214,193479.84,"Las Vegas-Henderson-Paradise, NV",WECC_SNV,-115.69175100324976,35.99102143555698,32003,Nevada,,,29820_32003,2
1.0,2,547.1999366974428,2.64986629665,2.04556769763,34.0161402393,0.215618782582,131.354570954,45.8141131067,77.2880789276,0.272727272727,3.09090909091,0.233512653546,0.0,23.8487966699,199546,185.545454545,-1.0,9799.73256965,2649866.29665,81,0,0,pop_den_(0-5],photovoltaic,25720,WECC_UT,23.848797,0.288719,"[199546, 205955]",53412.1,9795.209,1534.5112,25.597965,31679.234,"Heber, UT",WECC_UT,-111.42992232358816,40.5286774837204,49051,Utah,,,25720_49051,2
1.0,2,547.1999366974428,15.6709301494,0.0,50.8805279627,0.0,29.1153707242,40.2819299822,63.5018061143,1.12698412698,0.0,0.029848348645,0.0,141.038371344,212896,256.222222222,213.0,16999.9999028,15670930.1494,52,0,0,pop_den_(0-5],photovoltaic,29820,WECC_SNV,141.03838,0.31879047,"[212896, 304978]",52312.918,9795.209,9430.879,25.617308,194695.88,"Las Vegas-Henderson-Paradise, NV",WECC_SNV,-115.6961868476427,36.01245350498014,32003,Nevada,,,29820_32003,2
1.0,2,547.1999366974428,8.15053470238,2.03129739861,47.1872463118,2.24659627814,31.1735784343,37.2904117491,61.8177566416,1.03225806452,0.0,0.0185296476608,0.0,73.3548123214,105255,239.0,210.0,17804.7870094,8150534.70238,52,0,0,pop_den_(0-5],photovoltaic,29820,WECC_SNV,73.35481,0.31879047,"[105255, 304978]",52312.918,9795.209,9449.015,25.6238,195070.3,"Las Vegas-Henderson-Paradise, NV",WECC_SNV,-115.6845985755558,35.9701932248624,32003,Nevada,,,29820_32003,2
1.0,2,547.1999366974428,12.1275384441,0.0,37.468832031,4.68127770914,28.9713528838,26.4238013532,51.672714365,3.67346938776,0.0,0.0487986495908,0.0,109.147845997,105245,262.428571429,6.0,18799.7326358,12127538.4441,52,0,0,pop_den_(0-5],photovoltaic,29820,WECC_SNV,109.14784,0.3193692,"[105245, 304978]",52312.918,9795.209,9601.749,25.631962,198223.4,"Las Vegas-Henderson-Paradise, NV",WECC_SNV,-115.58282485624156,35.925761410351235,32003,Nevada,,,29820_32003,2
1.0,2,547.1999366974428,4.74999988095,1.84865448858,28.2734709017,0.0,129.261156902,48.2574879388,75.363578939,2.15,42.8,0.260247817636,1.0,42.7499989285,199522,272.526315789,-1.0,12999.9999845,4749999.88095,81,0,0,pop_den_(40-60],photovoltaic,25720,WECC_UT,4.275,0.29608083,"[199522, 205955]",53412.1,9795.209,3339.1492,25.657278,68935.1,"Heber, UT",WECC_UT,-111.4581072445134,40.46764885189733,49051,Utah,,,25720_49051,2
1.0,3,9.88845143636402e-06,13.9968777562,9.27614595127,32.9648661616,10.2096915498,40.5903883353,68.7497545364,59.4224881496,7.22222222222,0.0,0.0131764477809,0.0,125.971899806,212947,236.296296296,0.0,21005.0550242,13996877.7562,52,0,0,pop_den_(0-5],photovoltaic,37220,WECC_NNV,125.9719,0.33001164,"[212947, 310177]",52312.918,9795.209,3238.6897,22.604301,66861.164,"Pahrump, NV",WECC_NNV,-115.85966396373853,36.27510980106155,32003,Nevada,,,37220_32003,3
