Zone,cluster,NewCap,unnamed: 0,net_cluster,region,tech,case,resource,zone,endcap,endenergycap,endchargecap,newcap,retcap,newenergycap,retenergycap,newchargecap,retchargecap,iter,resource_type,policy,cpa_id,lcoe,area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primefarmland,exfacil,plfacil,m_hmi,m_popden,cpa_mw,name,cluster
1.0,1,0.0008232855628406,9710,1,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_1,4,857.8999946,0,0,857.8999946,0,0,0,0,0,3,Onshore_Wind,1,71559,45.434727,55.74999985,43.53275915,-75.46780561,11932.202,New York,41.0,1.0,0.0,0.0,0.329781653,2.66367713,30.105,Onshore_WindNY_Z_C&E1_3,1
1.0,2,547.1984210249494,62378,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,63183,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,62833,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,62623,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_9,2
1.0,2,547.1984210249494,64360,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,62625,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_9,2
1.0,2,547.1984210249494,64362,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,62835,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,62380,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,63185,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,64366,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,63189,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_4,2
